YEAR,AVGPER_PHYSCOLL,AVGPER_DIGCOLL,TOT_BKPH,TOT_AUDPH,TOT_VIDPH,TOT_BKE,TOT_AUDE,TOT_VIDE,AVGPER_PHYSEXP,AVGPER_DIGEXP,TOT_INCM,TOT_VISITS,TOT_WIFISESS,TOT_PRO,TOT_PROKID,TOT_PROYA,TOTPRO_GEN,TOT_PROATTEN
2012,88.37681873,11.62318127,786526595,47570077,57233910,87388966,28374971,1462470,83.30211399,16.69788601,11510608844,1499562447,NULL,4013240,2389326,359120,1264794,92779933
2013,83.16217526,16.83782474,777241326,46667491,59265682,132720056,43325592,2770471,80.71399306,19.28600694,11563802121,1460881921,NULL,4280446,2519283,384885,1376278,96706191
2014,75.40276431,24.59723569,768377055,45569393,61709686,213943403,66347004.97,5358540.188,78.57489846,21.42510154,12074327299,1425930834,149246111,4488639,2575013,425305,1488321,102061141
2015,65.44294327,34.55705673,752753542,44882811,63253483,330157283,116243485,8190933,77.03608894,22.96391106,12431430618,1396597733,178630730,4743499,2684785,456952,1601762,106280550
2016,57.74532145,42.25467855,733739546,44084662,65047134,392538559,211752223,12473602,74.66915344,25.33084656,12772347052,1355648933,242596325,5192006,2861661,504335,1826010,113314125
2017,52.72558963,47.27441037,716283388,43668523,66103446,465061349,259421473,16168543,72.81240685,27.18759315,13257171864,1319803912,335852593,5423229,2974656,530819,1917754,118612119
2018,43.69016461,56.30983539,711826468,42875070,68357363,556796833,481066736,22931501,70.4166744,29.5833256,13872353730,1292348660,440940292,5719709,3088540,570775,2060394,122938713
2019,45.2337961,54.7662039,693555537,41031083,68775673,617870359,327187387,27606059,68.95930443,31.04069557,14313509962,1254323395,499311718,5927640,3137672,596944,2193024,125575268
2020,38.36128819,61.63871181,673239018,40246115,67657314,804985644,411408474,38741370,60.8936914,39.1063086,14608687456,732462126,354074367,3583465,1862419,374036,1347010,78615649
2021,32.36209805,67.63790195,661919570,37525830,66540895,1046687219,509459227,44791350,58.60897312,41.39102688,15011162309,417494632,231679801,1963439,969562,208083,785794,41041667
2022,27.20345331,72.79654669,655063583,37232844,65214704,1317739573,656597487,52765668,59.18251609,40.81748391,15709000283,670948457,353968839,3324985,1638198,344006,1342781,64372016
